"Ensembl_ID","Gene_symbol","Log_FoldChange","logCPM","PValue","AdjPValue","Power","BCOV"
"ENSG00000165449","SLC16A9",-2.307,0.264,1.08754635933836e-11,8.30759586724336e-10,1,0.573
"ENSG00000206412","GNL1",2.245,1.486,1.13236524848542e-11,8.57905900963173e-10,1,0.569
"ENSG00000283632","EXOC3L2",-1.661,1.325,1.12955358230358e-11,8.57905900963173e-10,1,0.423
"ENSG00000171115","GIMAP8",-1.359,3.423,1.18862105345185e-11,8.96850971188202e-10,1,0.363
"ENSG00000175745","NR2F1",-1.108,3.727,1.33073790776503e-11,1.00000085215221e-09,1,0.297
"ENSG00000169442","CD52",1.858,1.372,1.34956787762089e-11,1.01004501156679e-09,1,0.474
"ENSG00000111676","ATN1",-1.008,3.629,1.38444424527682e-11,1.03196920637852e-09,1,0.27
"ENSG00000081913","PHLPP1",-1.114,4.763,1.40130114495236e-11,1.04033947652969e-09,1,0.303
"ENSG00000186642","PDE2A",-1.359,3.976,1.51143522567539e-11,1.11761566327341e-09,1,0.367
"ENSG00000126267","COX6B1",0.886,5.81,1.62540731632526e-11,1.19710277488401e-09,1,0.241
"ENSG00000125810","CD93",-1.077,3.639,1.6339576136133e-11,1.19862462084347e-09,1,0.29
"ENSG00000189334","S100A14",1.265,2.062,1.81328971540069e-11,1.32491990825681e-09,1,0.33
"ENSG00000066735","KIF26A",-1.617,0.772,1.94064246766802e-11,1.41239041957917e-09,0.998,0.407
"ENSG00000204220","PFDN6",1.232,0.597,1.97961022281909e-11,1.4294951007435e-09,0.964,0.295
"ENSG00000235692","PFDN6",1.232,0.597,1.9770425164492e-11,1.4294951007435e-09,0.964,0.295
"ENSG00000165731","RET",3.443,1.156,2.08801590062031e-11,1.50190902485864e-09,1,0.841
"ENSG00000151287","TEX30",0.932,2.54,2.42168921460107e-11,1.73516848143858e-09,0.999,0.244
"ENSG00000135220","UGT2A3",1.295,3.625,2.45860003978291e-11,1.74806462828565e-09,1,0.35
"ENSG00000278216","UGT2A3",1.295,3.625,2.45827975889673e-11,1.74806462828565e-09,1,0.35
"ENSG00000170558","CDH2",-0.967,5.844,2.47898605601097e-11,1.75580598587812e-09,1,0.268
"ENSG00000165288","BRWD3",-1.005,2.206,2.61177019154574e-11,1.84279327331735e-09,0.999,0.262
"ENSG00000143507","DUSP10",-1.124,3.355,2.67804540114892e-11,1.86913947192027e-09,1,0.305
"ENSG00000069702","TGFBR3",-1.068,4.322,2.67944368743304e-11,1.86913947192027e-09,1,0.292
"ENSG00000115306","SPTBN1",-1.133,7.661,2.67044295866627e-11,1.86913947192027e-09,1,0.314
"ENSG00000148444","COMMD3",0.851,3.284,2.69761398335631e-11,1.87474030437311e-09,1,0.227
"ENSG00000162897","FCAMR",2.257,2.471,2.75130690697474e-11,1.9048936135706e-09,1,0.59
"ENSG00000141665","FBXO15",4.409,2.376,2.7869153750055e-11,1.92234767247581e-09,1,1.045
"ENSG00000198435","NRARP",-2.686,-0.371,2.96928252777402e-11,2.01062845452126e-09,1,0.657
"ENSG00000146192","FGD2",-1.561,1.409,2.95204405765778e-11,2.01062845452126e-09,1,0.406
"ENSG00000120156","TEK",-1.386,2.975,2.96065810340849e-11,2.01062845452126e-09,1,0.377
"ENSG00000090674","MCOLN1",-1.05,3.276,2.96869321098593e-11,2.01062845452126e-09,1,0.283
"ENSG00000089248","ERP29",0.85,6.773,2.94084176908417e-11,2.01062845452126e-09,1,0.235
"ENSG00000111639","MRPL51",0.823,5.019,3.0294368863271e-11,2.04387482776068e-09,1,0.226
"ENSG00000105538","RASIP1",-1.106,1.841,3.05193198320784e-11,2.05156416878473e-09,0.998,0.287
"ENSG00000167491","GATAD2A",-1.005,3.848,3.08805349546927e-11,2.062940650086e-09,1,0.274
"ENSG00000117643","MAN1C1",-1.172,4.359,3.09117472721964e-11,2.062940650086e-09,1,0.323
"ENSG00000163075","CFAP221",2.279,-0.926,3.46097418346007e-11,2.30142333652672e-09,0.983,0.53
"ENSG00000005156","LIG3",-0.861,2.832,3.51168771835894e-11,2.32677631403525e-09,0.999,0.227
"ENSG00000127922","SEM1",0.98,5.364,3.54611914470463e-11,2.34119851817892e-09,1,0.271
"ENSG00000198945","L3MBTL3",-1.71,1.318,3.64996792382478e-11,2.40118530390836e-09,1,0.453
"ENSG00000128052","KDR",-1.818,4.978,3.66734870751455e-11,2.40406412081964e-09,1,0.498
"ENSG00000275342","PRAG1",-1.783,0.535,3.6908022439826e-11,2.41088940926722e-09,0.999,0.456
"ENSG00000128284","APOL3",1.588,5.253,3.71400256160491e-11,2.41750180823339e-09,1,0.433
"ENSG00000072786","STK10",-0.942,2.829,3.80458756452925e-11,2.46777563922413e-09,1,0.251
"ENSG00000083223","ZCCHC6",-1.161,5.018,3.85032083568722e-11,2.48870737652146e-09,1,0.323
"ENSG00000187630","DHRS4L2",1.033,5.423,3.91248401913073e-11,2.52007594347215e-09,1,0.286
"ENSG00000254505","CHMP4A",1.056,2.938,4.0063431700151e-11,2.57157152225344e-09,1,0.285
"ENSG00000059377","TBXAS1",-1.321,2.39,4.06844542614426e-11,2.60239730614889e-09,1,0.356
"ENSG00000079819","EPB41L2",-1.095,3.86,4.49350399523365e-11,2.86437637434101e-09,1,0.302
"ENSG00000129757","CDKN1C",-1.602,1.115,4.52712288975372e-11,2.87588981924355e-09,1,0.411
"ENSG00000154310","TNIK",-1.616,1.336,4.90318245454434e-11,3.1041174950242e-09,1,0.429
"ENSG00000164741","DLC1",-0.973,4.28,4.92672856454723e-11,3.10837898444437e-09,1,0.271
"ENSG00000157570","TSPAN18",-1.428,2.491,4.97320325299856e-11,3.12702841275277e-09,1,0.39
"ENSG00000184634","MED12",-1.171,3.119,5.05992403892179e-11,3.1707713824918e-09,1,0.323
"ENSG00000278615","C11orf98",0.919,2.691,5.09528002943951e-11,3.18214008865604e-09,0.999,0.246
"ENSG00000235568","NFAM1",-1.518,1.887,5.1673429273006e-11,3.21627950687134e-09,1,0.408
"ENSG00000127603","MACF1",-0.912,5.475,5.40059544203818e-11,3.35018145441335e-09,1,0.256
"ENSG00000095564","BTAF1",-1.042,2.682,5.42245281446262e-11,3.35249039224602e-09,1,0.284
"ENSG00000238158","FAM50B",4.74,-2.409,5.53284965577739e-11,3.40934195789003e-09,0.999,0.955
"ENSG00000186960","LINC01551",6.473,0.718,5.825782803164e-11,3.57792096010929e-09,1,1.392
"ENSG00000183963","SMTN",-1.233,2.839,5.86258318935343e-11,3.58859976286051e-09,1,0.336
"ENSG00000153037","SRP19",0.87,2.662,6.03632259938199e-11,3.68275444132592e-09,0.999,0.233
"ENSG00000163687","DNASE1L3",-1.154,6.285,6.09423403375248e-11,3.70585560355093e-09,1,0.325
"ENSG00000178980","SELENOW",0.993,4.45,6.37573180641203e-11,3.86432059584697e-09,1,0.276
"ENSG00000229807","XIST",9.472,3.488,6.42047468596181e-11,3.87872206028399e-09,1,1.794
"ENSG00000118640","VAMP8",0.87,5.074,6.48351013515976e-11,3.90404457194017e-09,1,0.244
"ENSG00000083168","KAT6A",-0.982,4.046,7.13155198605335e-11,4.28032045500592e-09,1,0.275
"ENSG00000165806","CASP7",1.002,2.92,7.21510272967399e-11,4.31645272041273e-09,1,0.274
"ENSG00000087253","LPCAT2",-1.297,1.256,7.25581522641224e-11,4.32256887611574e-09,0.997,0.332
"ENSG00000008441","NFIX",-0.883,5.601,7.27209196403763e-11,4.32256887611574e-09,1,0.25
"ENSG00000263934","SNORD3A",6.313,0.489,7.56069531845466e-11,4.47971197618439e-09,1,1.377
"ENSG00000160097","FNDC5",1.945,5.87,7.61890922801825e-11,4.49978134150624e-09,1,0.533
"ENSG00000283243","SHANK3",-1.905,2.433,8.48119303247575e-11,4.9930998216034e-09,1,0.523
"ENSG00000002587","HS3ST1",4.688,2.147,8.60918919267578e-11,5.0523641719303e-09,1,1.122
"ENSG00000214029","ZNF891",1.653,1.412,9.59212477622030e-11,5.61139299408888e-09,1,0.444
"ENSG00000133026","MYH10",-0.914,5.248,9.66401165615618e-11,5.6356126017572e-09,1,0.26
"ENSG00000169313","P2RY12",-2.258,-0.595,9.88888246010934e-11,5.74853600073389e-09,0.993,0.565
"ENSG00000166398","KIAA0355",-1.422,2.339,9.95094406704991e-11,5.74853600073389e-09,1,0.397
"ENSG00000172493","AFF1",-1.092,4.896,9.92277548675918e-11,5.74853600073389e-09,1,0.311
"ENSG00000156170","NDUFAF6",1.039,2.512,9.99428150686407e-11,5.75558529395293e-09,1,0.284
"ENSG00000113532","ST8SIA4",-1.565,0.827,1.00900638599915e-10,5.79269939490072e-09,0.998,0.403
"ENSG00000153130","SCOC",0.823,3.87,1.05413374564964e-10,6.03303913996264e-09,1,0.229
"ENSG00000223705","NSUN5P1",1.424,1.072,1.15637628496024e-10,6.59776913696759e-09,0.998,0.381
"ENSG00000119383","PTPA",1.06,5.628,1.17366379676306e-10,6.67579967598827e-09,1,0.301
"ENSG00000074803","SLC12A1",3.776,-1.357,1.19044900676192e-10,6.75050317147265e-09,1,0.889
"ENSG00000056736","IL17RB",-1.468,3.726,1.23867065203024e-10,7.00246656679847e-09,1,0.415
"ENSG00000211459","RNR1",1.845,11.713,1.24989134830463e-10,7.04435715389006e-09,1,0.514
"ENSG00000196683","TOMM7",0.9,5.564,1.32065551863311e-10,7.4205586375233e-09,1,0.256
"ENSG00000181090","EHMT1",-0.842,4.157,1.35130744778008e-10,7.56977863020078e-09,1,0.239
"ENSG00000280165","PCDH20",-3.199,1.074,1.39086675300531e-10,7.76784374503206e-09,1,0.837
"ENSG00000198218","QRICH1",-0.784,3.664,1.40550949812555e-10,7.82597848865932e-09,1,0.219
"ENSG00000197140","ADAM32",3.112,1.772,1.51683866318253e-10,8.42050436264034e-09,1,0.814
"ENSG00000184949","FAM227A",2.487,-1.275,1.53275756403443e-10,8.48340009842528e-09,0.976,0.592
"ENSG00000181744","C3orf58",-1.149,2.734,1.57072828420589e-10,8.64253966319717e-09,1,0.322
"ENSG00000164117","FBXO8",0.839,3.956,1.57553600914067e-10,8.64253966319717e-09,1,0.237
"ENSG00000100600","LGMN",-0.876,5.879,1.57092059341435e-10,8.64253966319717e-09,1,0.253
"ENSG00000167548","KMT2D",-0.948,4.003,1.59794164082134e-10,8.73951158941518e-09,1,0.271
"ENSG00000116584","ARHGEF2",-1.111,2.377,1.70302575311277e-10,9.28676521299191e-09,1,0.309
"ENSG00000021826","CPS1",-1.425,10.856,1.72765648119665e-10,9.39336991511799e-09,1,0.41
"ENSG00000130699","TAF4",-1.756,1.197,1.97739197233666e-10,1.07196680353711e-08,1,0.481
"ENSG00000164142","FAM160A1",-2.358,-0.609,2.05107501304735e-10,1.10866002021033e-08,0.995,0.605
"ENSG00000100697","DICER1",-0.986,4.099,2.10040270563633e-10,1.13201295674616e-08,1,0.283
"ENSG00000276497","APBA1",1.363,3.09,2.13553584005805e-10,1.14760219591027e-08,1,0.385
"ENSG00000151474","FRMD4A",-0.879,3.407,2.16465669654439e-10,1.15987952731361e-08,1,0.249
"ENSG00000106976","DNM1",-2.23,2.431,2.18539972947263e-10,1.16760980922055e-08,1,0.623
"ENSG00000177051","FBXO46",-1.075,1.771,2.22308910452732e-10,1.18432349240035e-08,0.996,0.289
"ENSG00000013297","CLDN11",1.377,1.451,2.32537111455786e-10,1.23525317309531e-08,0.999,0.374
"ENSG00000266094","RASSF5",-0.818,3.571,2.38546736506603e-10,1.26354583698025e-08,1,0.233
"ENSG00000145247","OCIAD2",0.795,5.077,2.51200391568082e-10,1.32676869672216e-08,1,0.23
"ENSG00000106638","TBL2",0.894,3.637,2.72056760332569e-10,1.43283227108486e-08,1,0.255
"ENSG00000019549","SNAI2",-1.364,1.851,2.77317629471543e-10,1.45639025523038e-08,1,0.381
"ENSG00000008869","HEATR5B",-0.99,2.578,2.84009686379984e-10,1.48730964941088e-08,1,0.278
"ENSG00000134955","SLC37A2",-1.447,2.211,2.86430123172899e-10,1.49574781270458e-08,1,0.404
"ENSG00000139291","TMEM19",0.808,3.847,2.94847884433785e-10,1.53536844835013e-08,1,0.231
"ENSG00000198258","UBL5",0.832,4.974,3.02013827652757e-10,1.56826618482833e-08,1,0.242
"ENSG00000223797","ENTPD3-AS1",1.015,1.159,3.02886519381858e-10,1.5683922121269e-08,0.961,0.264
"ENSG00000106366","SERPINE1",1.962,3.297,3.04424711288339e-10,1.57195397007716e-08,1,0.553
"ENSG00000023516","AKAP11",-1.021,3.138,3.08000340897691e-10,1.58598727070605e-08,1,0.293
"ENSG00000152910","CNTNAP4",3.71,-0.651,3.12245102853378e-10,1.6033786031521e-08,1,0.915
"ENSG00000134769","DTNA",2.275,-0.25,3.17836087583024e-10,1.62756728949024e-08,0.998,0.593
"ENSG00000206652","RNU1-1",7.207,-0.65,3.24359080087415e-10,1.63381524645666e-08,1,1.564
"ENSG00000206737","RNVU1-18",7.207,-0.65,3.24259713163506e-10,1.63381524645666e-08,1,1.564
"ENSG00000207005","RNU1-2",7.207,-0.65,3.24145949747808e-10,1.63381524645666e-08,1,1.564
"ENSG00000207389","RNU1-4",7.207,-0.65,3.24043496923953e-10,1.63381524645666e-08,1,1.564
"ENSG00000207513","RNU1-3",7.207,-0.65,3.23865909502347e-10,1.63381524645666e-08,1,1.564
"ENSG00000188868","ZNF563",1.143,1.77,3.21586709950811e-10,1.63381524645666e-08,0.998,0.315
"ENSG00000127951","FGL2",-1.206,3.946,3.29341133406653e-10,1.65440222612918e-08,1,0.35
"ENSG00000176890","TYMS",1.748,1.138,3.33216350511656e-10,1.66933264378279e-08,1,0.48
"ENSG00000183495","EP400",-0.811,3.242,3.60673013091072e-10,1.80200035675718e-08,1,0.232
"ENSG00000158869","FCER1G",-1.527,3.857,3.67801409889339e-10,1.83266222728149e-08,1,0.442
"ENSG00000137766","UNC13C",3.53,-1.287,3.69147700295327e-10,1.83442591066113e-08,0.999,0.856
"ENSG00000115461","IGFBP5",-1.045,4.969,3.73182071161187e-10,1.84950235053236e-08,1,0.307
"ENSG00000248740","LINC02428",1.11,2.301,3.84173129152964e-10,1.89888354693093e-08,1,0.313
"ENSG00000187889","FYB2",1.491,2.672,3.90446361195062e-10,1.92474438214718e-08,1,0.425
"ENSG00000077585","GPR137B",-1.161,2.926,3.91796153081674e-10,1.92626161858187e-08,1,0.335
"ENSG00000110060","PUS3",0.904,3.313,4.03441801797536e-10,1.97741078995377e-08,1,0.259
"ENSG00000048140","TSPAN17",0.923,4.019,4.04339109922386e-10,1.97741078995377e-08,1,0.268
"ENSG00000282367","PTDSS2",1.555,1.462,4.29745868318719e-10,2.095317077772e-08,1,0.432
"ENSG00000162704","ARPC5",0.724,4.994,4.30715400602272e-10,2.095317077772e-08,1,0.212
"ENSG00000138685","FGF2",1.642,1.162,4.35600875572209e-10,2.11352172856374e-08,1,0.452
"ENSG00000139718","SETD1B",-1.09,2.989,4.42312178549575e-10,2.14046673630038e-08,1,0.314
"ENSG00000169213","RAB3B",3.94,-0.025,4.64235952489913e-10,2.24069603596045e-08,1,0.994
