HIF1A	ADM
STAT1	NOS2
BMAL1	PER1
CLOCK	PER1
BMAL1	DBP
ATF2	IFNB1
IRF3	IFNB1
JUN	IFNB1
ETS1	CSNK2A1
SP1	CSNK2A1
TP53	MAPK8
JUNB	CDKN2A
NR1H3	ABCA1
TFAP2A	HGF
SPI1	SERPINB1
CEBPA	PPARG
CEBPB	PPARG
EGR1	KLF5
ESR1	VEGFA
SPI1	MMP2
MYC	THBS1
MZF1	TERT
SP1	UTRN
PAX3	BCL2L1
HOXA5	PGR
STAT3	CRP
CEBPB	CRP
SP1	SERPINE1
CDX2	GUCY2C
FOS	CDKN1A
PAX4	INS
TP53	CASP3
SP1	PGR
ESR1	PGR
PGR	ESR1
ESR1	EGF
STAT3	IL10
ATF2	INS
CREB1	INS
TP53	VEGFA
MYC	GADD45A
ELK1	TNF
FOSL1	MMP1
JUN	MMP1
E2F1	TYMS
E2F1	MDM2
HNF4A	SRC
JUN	SPRR1B
JUN	CCL2
SP1	STAR
NFKB1	CSF1
HIF1A	BNIP3
SOX10	MPZ
IRF7	IFNA1
FOS	MMP9
GATA1	SPTB
ESR1	PTMA
SOX10	MITF
JUN	IL24
ETS1	PSEN1
ZEB1	CDH1
SP1	MYBL1
FOXO1	G6PC1
SP1	PTN
ATF3	SELE
RELA	EDN1
SP1	ALOX12
WT1	CCN2
STAT1	TAP1
NFKB1	IL6
CREB1	TG
SP1	CD44
JUN	ATF3
ATF2	ATF3
TP53	RRM2B
CEBPB	CDKN1A
ESR1	IGF1R
ESR1	SP1
SP1	ESR1
EGR1	TGFBR2
ZIC2	DRD1
SMAD3	APOC3
SMAD4	APOC3
POU2F1	HPGDS
JUN	GCLC
HIF1A	TP53
TFAP2A	VEGFA
CEBPB	IL4
ESR1	APOA1
NR5A1	CYP11B1
ATF1	CGA
CREB1	CGA
ESR2	PGR
BMAL2	SERPINE1
SPI1	GATA1
ESR1	KRT19
HNF4A	RXRA
ESR1	AKT1
ESR1	NOS3
SP1	POLB
E2F4	CDK1
NFKB1	CRP
NFKB1	IL1B
JUN	NQO1
NFE2L2	NQO1
ZIC1	APOE
ZIC2	APOE
ATF2	PCK1
WT1	VDR
SP1	IL1A
FOXA1	SFTPB
HES1	ASCL1
REL	F3
NFKB1	MMP9
NFKB1	NFKBIA
RELA	MMP9
RELA	NFKBIA
SP1	MMP9
TP53	FHL2
TBX2	CDKN2A
WT1	EGFR
SP3	ALPL
MITF	KIT
MYF6	ACACB
NFKB1	PTGS2
RELA	PTGS2
USF1	HOXB4
USF2	HOXB4
IRF1	HLA-G
ESR1	AVP
CREB1	PTGS2
GATA3	IL4
